Player,Mean Possibilities,Maximum Possibilities,Mean Decrease in Possibilities
Jonathan Kuminga,18.49,78,96.27%
Wendell Carter Jr.,18.64,77,96.24%
Nic Claxton,18.85,73,96.20%
Wesley Matthews,18.91,148,96.19%
Jordan Clarkson,19.16,99,96.14%
Davis Bertans,19.17,90,96.13%
Ed Davis,19.23,118,96.12%
Saben Lee,19.29,82,96.11%
JaMychal Green,19.47,79,96.07%
Kira Lewis Jr.,19.55,150,96.06%
Duane Washington Jr.,20.16,98,95.94%
Steven Adams,20.26,153,95.92%
Jericho Sims,20.52,84,95.86%
Isaiah Hartenstein,20.65,62,95.84%
Moses Moody,20.97,93,95.77%
Mo Bamba,20.99,92,95.77%
Tim Frazier,21.02,142,95.76%
Rudy Gay,21.31,74,95.70%
Mike Muscala,21.32,85,95.70%
Serge Ibaka,21.40,119,95.68%
Jarrett Allen,21.51,87,95.66%
Eric Gordon,21.54,147,95.66%
Keifer Sykes,21.54,99,95.66%
Maxi Kleber,21.79,97,95.61%
James Harden,22.09,107,95.55%
Marko Simonovic,22.25,89,95.51%
Keon Johnson,22.25,141,95.51%
Facundo Campazzo,22.31,129,95.50%
CJ McCollum,22.33,126,95.50%
Trey Burke,22.89,117,95.39%
Kemba Walker,23.24,144,95.31%
Luke Kornet,23.42,68,95.28%
Mason Plumlee,23.62,116,95.24%
Trevor Ariza,23.71,101,95.22%
Anthony Edwards,23.91,122,95.18%
Bones Hyland,24.10,123,95.14%
Thaddeus Young,24.18,120,95.13%
Khem Birch,24.24,139,95.11%
Jalen Green,24.34,116,95.09%
Nikola Vucevic,24.39,186,95.08%
Patrick Beverley,24.51,163,95.06%
Tyrell Terry,24.75,128,95.01%
Tyrese Maxey,24.86,116,94.99%
Jeff Green,24.90,106,94.98%
Gary Payton II,24.97,118,94.96%
Jakob Poeltl,25.00,91,94.96%
Miles McBride,25.06,121,94.95%
Kevin Love,25.27,114,94.90%
Markus Howard,25.56,100,94.85%
Cole Anthony,25.59,106,94.84%
