Player,Mean Possibilities,Maximum Possibilities,Mean Decrease in Possibilities
Marquese Chriss,9.65,50,97.27%
Lonnie Walker IV,9.70,51,97.25%
Dalano Banton,9.71,47,97.25%
Romeo Langford,9.76,37,97.24%
Brandon Boston Jr.,9.78,46,97.23%
Ja Morant,9.84,50,97.21%
Isaiah Todd,9.85,51,97.21%
Cassius Winston,9.86,54,97.21%
Santi Aldama,9.95,43,97.18%
LeBron James,9.95,45,97.18%
Cam Reddish,9.96,53,97.18%
Mason Jones,9.97,50,97.18%
Trey Burke,9.99,40,97.17%
Jaxson Hayes,10.03,39,97.16%
Andre Iguodala,10.03,31,97.16%
Tre Mann,10.06,46,97.15%
Jose Alvarado,10.10,46,97.14%
Onyeka Okongwu,10.15,48,97.12%
Chris Chiozza,10.21,38,97.11%
Kyle Guy,10.24,56,97.10%
Chris Boucher,10.25,56,97.10%
Jordan Clarkson,10.25,50,97.10%
Killian Hayes,10.31,53,97.08%
Jrue Holiday,10.34,46,97.07%
James Johnson,10.35,50,97.07%
Didi Louzada,10.40,49,97.05%
Jevon Carter,10.42,41,97.05%
CJ McCollum,10.47,54,97.03%
Clint Capela,10.49,50,97.03%
Moses Wright,10.50,52,97.03%
Steven Adams,10.52,42,97.02%
Mitchell Robinson,10.55,43,97.01%
Blake Griffin,10.63,53,96.99%
Charles Bassey,10.71,51,96.96%
Frank Jackson,10.74,60,96.96%
Jayson Tatum,10.85,48,96.93%
Usman Garuba,10.88,55,96.92%
Ryan Arcidiacono,10.89,43,96.92%
Darius Garland,10.93,57,96.90%
Brandon Goodwin,10.97,41,96.89%
Killian Tillie,10.98,51,96.89%
Talen Horton-Tucker,11.06,59,96.87%
Davis Bertans,11.07,54,96.86%
Facundo Campazzo,11.09,50,96.86%
Vernon Carey Jr.,11.11,53,96.85%
Gary Payton II,11.19,53,96.83%
Daniel Theis,11.21,57,96.82%
Vit Krejci,11.22,52,96.82%
Quentin Grimes,11.25,61,96.81%
JaMychal Green,11.30,49,96.80%
Jaden Springer,11.32,52,96.79%
Daishen Nix,11.32,49,96.79%
Jaylen Nowell,11.32,60,96.79%
RJ Nembhard Jr.,11.35,62,96.79%
Jordan Poole,11.35,59,96.78%
Karl-Anthony Towns,11.45,36,96.76%
Theo Maledon,11.51,58,96.74%
Robert Williams III,11.51,48,96.74%
Tim Frazier,11.61,49,96.71%
Trent Forrest,11.63,64,96.71%
Zeke Nnaji,11.63,57,96.70%
Jared Butler,11.65,54,96.70%
Arnoldas Kulboka,11.73,52,96.68%
Day'Ron Sharpe,11.79,61,96.66%
Immanuel Quickley,11.81,62,96.65%
Luka Doncic,11.86,45,96.64%
Myles Turner,11.89,45,96.63%
Eric Gordon,11.95,55,96.61%
Kevin Porter Jr.,12.01,59,96.60%
LaMelo Ball,12.02,44,96.59%
Bojan Bogdanovic,12.09,51,96.57%
Josh Giddey,12.10,45,96.57%
Jalen Suggs,12.12,57,96.57%
Jalen Johnson,12.15,58,96.56%
Paul Reed,12.18,58,96.55%
James Harden,12.24,58,96.53%
McKinley Wright IV,12.26,50,96.53%
Sekou Doumbouya,12.31,56,96.51%
Cade Cunningham,12.31,49,96.51%
Jay Scrubb,12.35,56,96.50%
Luguentz Dort,12.37,65,96.50%
Kemba Walker,12.38,56,96.49%
Isaac Okoro,12.39,41,96.49%
Lindell Wigginton,12.46,55,96.47%
Tyrese Haliburton,12.52,57,96.45%
Jeremiah Robinson-Earl,12.54,55,96.45%
Ed Davis,12.61,59,96.43%
Nikola Jokic,12.70,55,96.40%
Kai Jones,12.71,55,96.40%
Wesley Matthews,12.78,54,96.38%
Maxi Kleber,12.79,60,96.38%
Keifer Sykes,12.97,43,96.33%
James Bouknight,12.97,66,96.33%
Franz Wagner,13.01,64,96.31%
Mike Muscala,13.01,55,96.31%
Udoka Azubuike,13.15,44,96.28%
Aleksej Pokusevski,13.21,50,96.26%
Marvin Bagley III,13.25,56,96.25%
Rudy Gay,13.27,43,96.24%
Joshua Primo,13.34,59,96.22%
Jonathan Kuminga,13.45,57,96.19%
Nikola Vucevic,13.46,51,96.19%
Isaiah Jackson,13.65,66,96.13%
Josh Christopher,13.67,66,96.13%
Khem Birch,13.70,69,96.12%
Serge Ibaka,13.76,66,96.10%
Bol Bol,13.83,54,96.08%
Deandre Ayton,13.89,62,96.06%
Cam Thomas,13.93,59,96.05%
Trevor Ariza,14.22,65,95.97%
Coby White,14.24,67,95.97%
John Wall,14.28,66,95.95%
Moses Moody,14.28,64,95.95%
Dennis Schroder,14.29,48,95.95%
Donovan Mitchell,14.36,58,95.93%
Mason Plumlee,14.36,60,95.93%
Jalen Smith,14.45,61,95.91%
DeMarcus Cousins,14.51,67,95.89%
Patrick Williams,14.58,61,95.87%
Luka Samanic,14.59,64,95.87%
Kira Lewis Jr.,15.05,62,95.74%
Ish Smith,15.10,59,95.72%
Nick Richards,15.10,54,95.72%
Collin Sexton,15.18,72,95.70%
Andre Drummond,15.28,65,95.67%
JT Thor,15.38,72,95.64%
Reggie Jackson,15.44,68,95.63%
Kevin Love,15.48,61,95.61%
Isaiah Stewart,15.49,62,95.61%
Seth Curry,15.51,64,95.61%
Sandro Mamukelashvili,15.53,60,95.60%
Anfernee Simons,15.90,75,95.50%
Jonas Valanciunas,15.94,71,95.49%
Wayne Ellington,16.01,70,95.47%
De'Anthony Melton,16.09,74,95.44%
Mike Conley,16.11,64,95.44%
Gorgui Dieng,16.19,60,95.41%
Eric Bledsoe,16.26,75,95.39%
Isaiah Hartenstein,16.31,51,95.38%
Patrick Beverley,16.37,55,95.36%
Keon Johnson,16.50,76,95.33%
Wendell Carter Jr.,16.58,64,95.30%
Tre Jones,16.65,69,95.28%
Nic Claxton,16.72,62,95.26%
Luke Kornet,16.74,40,95.26%
Duane Washington Jr.,16.83,77,95.23%
Goran Dragic,16.86,73,95.22%
Thaddeus Young,16.93,78,95.20%
Saben Lee,16.99,69,95.19%
Patty Mills,17.07,67,95.16%
Jericho Sims,17.10,71,95.16%
Derrick Rose,17.40,77,95.07%
Garrett Temple,17.80,56,94.96%
Mo Bamba,17.95,80,94.92%
George Hill,17.95,79,94.91%
Nicolas Batum,18.08,75,94.88%
Damian Jones,18.10,65,94.87%
Jeff Green,18.17,77,94.85%
Jusuf Nurkic,18.29,72,94.82%
Jakob Poeltl,18.39,60,94.79%
Jarrett Allen,18.44,76,94.78%
Tyrell Terry,18.97,83,94.63%
Jalen Green,19.08,79,94.59%
Damian Lillard,19.29,80,94.53%
Miles McBride,19.31,81,94.53%
Lou Williams,19.38,80,94.51%
Tyrese Maxey,19.55,81,94.46%
Bones Hyland,19.57,85,94.46%
Jock Landale,19.58,64,94.45%
Anthony Edwards,19.60,84,94.45%
Alex Len,19.66,82,94.43%
DeAndre Jordan,19.88,65,94.37%
Willie Cauley-Stein,19.88,76,94.37%
Kyle Lowry,19.93,76,94.35%
Stephen Curry,19.97,74,94.34%
Russell Westbrook,20.10,80,94.30%
Marko Simonovic,20.58,77,94.17%
Joe Ingles,21.20,76,93.99%
Cole Anthony,22.11,85,93.74%
Luka Garza,22.29,84,93.68%
Ivica Zubac,22.38,76,93.66%
Markus Howard,22.66,80,93.58%
Brandon Williams,22.87,87,93.52%
Sharife Cooper,23.26,87,93.41%
Olivier Sarr,23.28,86,93.40%
Ricky Rubio,24.06,86,93.18%
Brook Lopez,24.33,74,93.11%
LaMarcus Aldridge,24.59,83,93.04%
Udonis Haslem,25.54,94,92.76%
Chris Paul,26.71,93,92.43%
Rudy Gobert,26.71,98,92.43%
Goga Bitadze,27.23,77,92.29%
Taj Gibson,28.35,100,91.97%
Al Horford,28.76,94,91.85%
Dwight Howard,29.54,91,91.63%
JaVale McGee,29.67,81,91.60%
Evan Mobley,30.43,109,91.38%
Omer Yurtseven,30.45,103,91.37%
Rajon Rondo,31.13,104,91.18%
Dewayne Dedmon,32.17,110,90.89%
Hassan Whiteside,32.97,114,90.66%
Neemias Queta,36.52,112,89.65%
Alperen Sengun,38.82,125,89.00%
James Wiseman,46.05,134,86.96%
Robin Lopez,53.16,150,84.94%
Boban Marjanovic,65.33,164,81.49%
